,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,1,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,185.4285714,,,hhs,hhs
1,10,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-08-22,113,132.7142857,,,hhs,hhs
2,2,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,509.2857143,,,hhs,hhs
3,3,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,539.8571429,,,hhs,hhs
4,4,confirmed_admissions_covid_1d_7dav,2021-05-01,2022-08-04,460,1169.1428571,,,hhs,hhs
5,5,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,1083.2857143,,,hhs,hhs
6,6,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-09-17,139,500.1428571,,,hhs,hhs
7,7,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,146.7142857,,,hhs,hhs
8,8,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,179.8571429,,,hhs,hhs
9,9,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,372.8571429,,,hhs,hhs
10,1,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,175.2857143,,,hhs,hhs
11,10,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-08-22,112,133.4285714,,,hhs,hhs
12,2,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,503.0,,,hhs,hhs
13,3,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,541.7142857,,,hhs,hhs
14,4,confirmed_admissions_covid_1d_7dav,2021-05-02,2022-08-04,459,1163.2857143,,,hhs,hhs
15,5,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,1071.4285714,,,hhs,hhs
16,6,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-09-17,138,495.7142857,,,hhs,hhs
17,7,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,149.1428571,,,hhs,hhs
18,8,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,187.5714286,,,hhs,hhs
19,9,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,367.1428571,,,hhs,hhs
20,1,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,172.2857143,,,hhs,hhs
21,10,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-08-22,111,131.2857143,,,hhs,hhs
22,2,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,480.4285714,,,hhs,hhs
23,3,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,535.2857143,,,hhs,hhs
24,4,confirmed_admissions_covid_1d_7dav,2021-05-03,2022-08-04,458,1143.1428571,,,hhs,hhs
25,5,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,1066.2857143,,,hhs,hhs
26,6,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-09-17,137,492.7142857,,,hhs,hhs
27,7,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,145.7142857,,,hhs,hhs
28,8,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,186.1428571,,,hhs,hhs
29,9,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-08-28,117,360.7142857,,,hhs,hhs
30,1,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,166.4285714,,,hhs,hhs
31,10,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-08-22,110,128.8571429,,,hhs,hhs
32,2,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,472.0,,,hhs,hhs
