,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,6.5714286,,,state,hhs
1,al,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,58.7142857,,,state,hhs
2,ar,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,36.4285714,,,state,hhs
3,az,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,75.5714286,,,state,hhs
4,ca,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,241.4285714,,,state,hhs
5,co,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,115.1428571,,,state,hhs
6,ct,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,70.7142857,,,state,hhs
7,dc,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,15.1428571,,,state,hhs
8,de,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,19.1428571,,,state,hhs
9,fl,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-09-16,138,506.8571429,,,state,hhs
10,ga,confirmed_admissions_covid_1d_7dav,2021-05-01,2022-08-04,460,195.0,,,state,hhs
11,hi,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,6.8571429,,,state,hhs
12,ia,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,30.7142857,,,state,hhs
13,id,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,15.0,,,state,hhs
14,il,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,229.4285714,,,state,hhs
15,in,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,110.2857143,,,state,hhs
16,ks,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,29.1428571,,,state,hhs
17,ky,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,120.0,,,state,hhs
18,la,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-08-22,113,50.0,,,state,hhs
19,ma,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,73.7142857,,,state,hhs
20,md,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,124.5714286,,,state,hhs
21,me,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,14.7142857,,,state,hhs
22,mi,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,379.2857143,,,state,hhs
23,mn,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,93.4285714,,,state,hhs
24,mo,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,70.8571429,,,state,hhs
25,ms,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,27.2857143,,,state,hhs
26,mt,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,14.2857143,,,state,hhs
27,nc,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,122.5714286,,,state,hhs
28,nd,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,11.2857143,,,state,hhs
29,ne,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,16.0,,,state,hhs
30,nh,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,10.5714286,,,state,hhs
31,nj,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,170.0,,,state,hhs
32,nm,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,23.4285714,,,state,hhs
33,nv,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,49.0,,,state,hhs
34,ny,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,303.1428571,,,state,hhs
35,oh,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,184.7142857,,,state,hhs
36,ok,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,37.8571429,,,state,hhs
37,or,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-08-22,113,36.1428571,,,state,hhs
38,pa,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,267.1428571,,,state,hhs
39,pr,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,35.8571429,,,state,hhs
40,ri,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,11.1428571,,,state,hhs
41,sc,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,51.5714286,,,state,hhs
42,sd,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,11.1428571,,,state,hhs
43,tn,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,87.1428571,,,state,hhs
44,tx,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-09-17,139,352.4285714,,,state,hhs
45,ut,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,22.1428571,,,state,hhs
46,va,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,83.8571429,,,state,hhs
47,vi,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,0.2857143,,,state,hhs
48,vt,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,4.5714286,,,state,hhs
49,wa,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,75.0,,,state,hhs
50,wi,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,86.1428571,,,state,hhs
51,wv,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,30.0,,,state,hhs
52,wy,confirmed_admissions_covid_1d_7dav,2021-05-01,2021-07-27,87,5.8571429,,,state,hhs
53,ak,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,6.4285714,,,state,hhs
54,al,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,64.2857143,,,state,hhs
55,ar,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,35.5714286,,,state,hhs
56,az,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,74.8571429,,,state,hhs
57,ca,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,236.8571429,,,state,hhs
58,co,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,119.4285714,,,state,hhs
59,ct,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,67.1428571,,,state,hhs
60,dc,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,14.2857143,,,state,hhs
61,de,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,19.2857143,,,state,hhs
62,fl,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-09-16,137,492.5714286,,,state,hhs
63,ga,confirmed_admissions_covid_1d_7dav,2021-05-02,2022-08-04,459,194.8571429,,,state,hhs
64,hi,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,6.4285714,,,state,hhs
65,ia,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,32.8571429,,,state,hhs
66,id,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,14.8571429,,,state,hhs
67,il,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,230.1428571,,,state,hhs
68,in,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,111.0,,,state,hhs
69,ks,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,30.7142857,,,state,hhs
70,ky,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,121.8571429,,,state,hhs
71,la,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-08-22,112,51.0,,,state,hhs
72,ma,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,69.5714286,,,state,hhs
73,md,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,121.7142857,,,state,hhs
74,me,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,14.2857143,,,state,hhs
75,mi,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,370.0,,,state,hhs
76,mn,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,89.7142857,,,state,hhs
77,mo,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,70.1428571,,,state,hhs
78,ms,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,29.0,,,state,hhs
79,mt,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,14.7142857,,,state,hhs
80,nc,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,122.5714286,,,state,hhs
81,nd,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,11.4285714,,,state,hhs
82,ne,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,15.4285714,,,state,hhs
83,nh,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,11.1428571,,,state,hhs
84,nj,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,168.0,,,state,hhs
85,nm,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,23.2857143,,,state,hhs
86,nv,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,49.0,,,state,hhs
87,ny,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,300.4285714,,,state,hhs
88,oh,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,186.4285714,,,state,hhs
89,ok,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,36.1428571,,,state,hhs
90,or,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-08-22,112,37.4285714,,,state,hhs
91,pa,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,270.0,,,state,hhs
92,pr,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,34.4285714,,,state,hhs
93,ri,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,9.2857143,,,state,hhs
94,sc,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,50.0,,,state,hhs
95,sd,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,12.0,,,state,hhs
96,tn,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,88.1428571,,,state,hhs
97,tx,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-09-17,138,349.7142857,,,state,hhs
98,ut,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,24.0,,,state,hhs
99,va,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,84.5714286,,,state,hhs
100,vi,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,0.1428571,,,state,hhs
101,vt,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,3.8571429,,,state,hhs
102,wa,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,74.7142857,,,state,hhs
103,wi,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,84.1428571,,,state,hhs
104,wv,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,31.8571429,,,state,hhs
105,wy,confirmed_admissions_covid_1d_7dav,2021-05-02,2021-07-27,86,6.0,,,state,hhs
106,ak,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,6.2857143,,,state,hhs
107,al,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,64.4285714,,,state,hhs
108,ar,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,36.4285714,,,state,hhs
109,az,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,72.2857143,,,state,hhs
110,ca,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-08-28,117,232.8571429,,,state,hhs
111,co,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,117.7142857,,,state,hhs
112,ct,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,66.1428571,,,state,hhs
113,dc,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,14.1428571,,,state,hhs
114,de,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,17.4285714,,,state,hhs
115,fl,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-09-16,136,478.7142857,,,state,hhs
116,ga,confirmed_admissions_covid_1d_7dav,2021-05-03,2022-08-04,458,195.7142857,,,state,hhs
117,hi,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,6.8571429,,,state,hhs
118,ia,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,32.4285714,,,state,hhs
119,id,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,14.5714286,,,state,hhs
120,il,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,234.7142857,,,state,hhs
121,in,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,113.1428571,,,state,hhs
122,ks,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,29.5714286,,,state,hhs
123,ky,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,120.7142857,,,state,hhs
124,la,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-08-22,111,51.4285714,,,state,hhs
125,ma,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,68.8571429,,,state,hhs
126,md,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,117.5714286,,,state,hhs
127,me,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,13.7142857,,,state,hhs
128,mi,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,360.4285714,,,state,hhs
129,mn,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,89.1428571,,,state,hhs
130,mo,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,69.4285714,,,state,hhs
131,ms,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,30.0,,,state,hhs
132,mt,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,14.7142857,,,state,hhs
133,nc,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,118.4285714,,,state,hhs
134,nd,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,11.0,,,state,hhs
135,ne,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,14.2857143,,,state,hhs
136,nh,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,11.4285714,,,state,hhs
137,nj,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,162.5714286,,,state,hhs
138,nm,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,22.5714286,,,state,hhs
139,nv,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,48.7142857,,,state,hhs
140,ny,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,289.2857143,,,state,hhs
141,oh,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,182.2857143,,,state,hhs
142,ok,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,34.8571429,,,state,hhs
143,or,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-08-22,111,37.2857143,,,state,hhs
144,pa,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,265.5714286,,,state,hhs
145,pr,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,28.4285714,,,state,hhs
146,ri,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,8.7142857,,,state,hhs
147,sc,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,48.0,,,state,hhs
148,sd,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,12.1428571,,,state,hhs
149,tn,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,87.1428571,,,state,hhs
150,tx,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-09-17,137,347.4285714,,,state,hhs
151,ut,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,23.7142857,,,state,hhs
152,va,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,86.7142857,,,state,hhs
153,vi,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,0.1428571,,,state,hhs
154,vt,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,3.4285714,,,state,hhs
155,wa,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,73.1428571,,,state,hhs
156,wi,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,86.5714286,,,state,hhs
157,wv,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,33.8571429,,,state,hhs
158,wy,confirmed_admissions_covid_1d_7dav,2021-05-03,2021-07-27,85,6.8571429,,,state,hhs
159,ak,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,6.0,,,state,hhs
160,al,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,65.1428571,,,state,hhs
161,ar,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,35.7142857,,,state,hhs
162,az,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,70.7142857,,,state,hhs
163,ca,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-08-28,116,230.8571429,,,state,hhs
164,co,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,120.5714286,,,state,hhs
165,ct,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,62.1428571,,,state,hhs
166,dc,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,14.4285714,,,state,hhs
167,de,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,16.8571429,,,state,hhs
168,fl,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-09-16,135,466.8571429,,,state,hhs
169,ga,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-11-03,183,191.5714286,,,state,hhs
170,hi,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,6.2857143,,,state,hhs
171,ia,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,32.0,,,state,hhs
172,id,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,13.8571429,,,state,hhs
173,il,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,234.1428571,,,state,hhs
174,in,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,111.5714286,,,state,hhs
175,ks,confirmed_admissions_covid_1d_7dav,2021-05-04,2021-07-27,84,27.4285714,,,state,hhs
