,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,75.2347255,1.9362104,497.0,state,fb-survey
1,al,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,74.5910028,0.9188077,2245.0435,state,fb-survey
2,ar,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,73.736626,1.1220457,1538.1995,state,fb-survey
3,az,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,83.1162071,0.6117558,3749.7256,state,fb-survey
4,ca,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,91.5308132,0.2261119,15162.1979,state,fb-survey
5,co,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,87.2117957,0.5758034,3363.8484,state,fb-survey
6,ct,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,92.542209,0.5116846,2636.0,state,fb-survey
7,dc,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,93.907966,1.431958,279.0,state,fb-survey
8,de,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,91.8149153,0.9937423,761.0073,state,fb-survey
9,fl,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,81.8761849,0.3574786,11612.0007,state,fb-survey
10,ga,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,79.3408929,0.6358646,4053.9586,state,fb-survey
11,hi,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,94.7467427,0.81902,742.0,state,fb-survey
12,ia,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,78.8347701,0.8254656,2448.7412,state,fb-survey
13,id,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,67.8940567,1.3069555,1276.1319,state,fb-survey
14,il,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,88.7133903,0.3701494,7308.0011,state,fb-survey
15,in,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,80.2115014,0.6456187,3808.0028,state,fb-survey
16,ks,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,74.5255656,1.0278357,1797.0593,state,fb-survey
17,ky,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,84.5258845,0.7292552,2459.4415,state,fb-survey
18,la,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,75.9082477,0.9318576,2105.9996,state,fb-survey
19,ma,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,93.7862512,0.4051647,3550.01,state,fb-survey
20,md,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,93.5226924,0.4521584,2962.9903,state,fb-survey
21,me,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,89.5647805,0.8070371,1435.0,state,fb-survey
22,mi,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,89.0673418,0.3332514,8767.9946,state,fb-survey
23,mn,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,86.5159071,0.6033408,3204.7362,state,fb-survey
24,mo,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,77.3057325,0.7329326,3265.8769,state,fb-survey
25,ms,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,72.8391817,1.1938272,1388.1134,state,fb-survey
26,mt,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,68.5220002,1.5501452,897.6198,state,fb-survey
27,nc,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,87.1145589,0.4588708,5331.0055,state,fb-survey
28,nd,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,67.4493497,2.2453377,435.4859,state,fb-survey
29,ne,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,78.7133352,1.1781367,1207.1593,state,fb-survey
30,nh,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,89.5462708,0.8925662,1175.0,state,fb-survey
31,nj,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,93.047594,0.3988257,4066.9983,state,fb-survey
32,nm,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,89.9880546,0.7258357,1710.1205,state,fb-survey
33,nv,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,88.4098041,0.8693445,1355.8366,state,fb-survey
34,ny,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,92.3267968,0.2865977,8625.0002,state,fb-survey
35,oh,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,84.6685877,0.4334556,6908.9994,state,fb-survey
36,ok,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,75.872352,0.9076573,2222.0547,state,fb-survey
37,or,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,87.8917252,0.5739875,3230.1705,state,fb-survey
38,pa,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,85.9610865,0.3935438,7792.0038,state,fb-survey
39,ri,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,93.9000371,0.8937991,716.99,state,fb-survey
40,sc,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,80.1615481,0.7132509,3126.0021,state,fb-survey
41,sd,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,65.5401022,1.8512903,658.9797,state,fb-survey
42,tn,smoothed_wwearing_mask_7d,2021-05-01,2021-05-06,5,79.0356675,0.6781822,3602.5609,state,fb-survey
