,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,12.3211704,1.4684342,501.0,state,fb-survey
1,al,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.9318725,0.6878361,2221.0451,state,fb-survey
2,ar,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.6312218,0.8161145,1543.1994,state,fb-survey
3,az,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.2598026,0.4969824,3727.7256,state,fb-survey
4,ca,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.6964219,0.2533155,14886.195,state,fb-survey
5,co,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.8309363,0.5360604,3360.8782,state,fb-survey
6,ct,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,9.0519006,0.5598049,2627.0,state,fb-survey
7,dc,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,8.3936391,1.6875478,270.0,state,fb-survey
8,de,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.3327692,1.1551809,753.0073,state,fb-survey
9,fl,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,8.7914474,0.26468,11446.0006,state,fb-survey
10,ga,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.543906,0.484933,4010.9564,state,fb-survey
11,hi,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,8.9148816,1.0503707,736.0,state,fb-survey
12,ia,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.8042748,0.6295223,2431.7413,state,fb-survey
13,id,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,9.4769723,0.8199136,1276.1228,state,fb-survey
14,il,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,9.933254,0.3507045,7274.001,state,fb-survey
15,in,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.8363978,0.5259093,3773.0029,state,fb-survey
16,ks,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,12.3337743,0.7748188,1801.0593,state,fb-survey
17,ky,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,13.1781905,0.6864019,2428.4414,state,fb-survey
18,la,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.3017622,0.6665245,2079.9996,state,fb-survey
19,ma,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.3469687,0.5129172,3526.0105,state,fb-survey
20,md,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,8.4924507,0.5156218,2922.9904,state,fb-survey
21,me,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,14.4505406,0.9278408,1436.0,state,fb-survey
22,mi,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.4908053,0.3406967,8761.9936,state,fb-survey
23,mn,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.1099558,0.5544239,3212.7844,state,fb-survey
24,mo,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,12.8807642,0.5868051,3258.8765,state,fb-survey
25,ms,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.8553383,0.8736343,1369.1487,state,fb-survey
26,mt,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,9.3028833,0.9700615,896.6285,state,fb-survey
27,nc,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,9.348625,0.4003651,5287.0051,state,fb-survey
28,nd,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,9.4884614,1.4057175,434.6139,state,fb-survey
29,ne,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.3423975,0.9172707,1195.1593,state,fb-survey
30,nh,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.6349884,0.9362119,1173.0,state,fb-survey
31,nj,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,9.2815632,0.4584044,4006.9984,state,fb-survey
32,nm,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,13.1054933,0.8181989,1701.0925,state,fb-survey
33,nv,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,12.7401241,0.9098757,1342.8395,state,fb-survey
34,ny,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.0866854,0.33931,8562.0003,state,fb-survey
35,oh,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.8651672,0.3897255,6884.9992,state,fb-survey
36,ok,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.7630157,0.6909544,2174.0549,state,fb-survey
37,or,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,13.8102691,0.6053542,3248.1683,state,fb-survey
38,pa,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.7538043,0.3518138,7754.0041,state,fb-survey
39,ri,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,15.2653982,1.3535844,705.9895,state,fb-survey
40,sc,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,8.725172,0.5094058,3069.002,state,fb-survey
41,sd,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,8.8386899,1.1084406,655.8033,state,fb-survey
42,tn,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.1233114,0.5245766,3592.5609,state,fb-survey
43,tx,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.338031,0.2888197,11112.0091,state,fb-survey
44,ut,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,13.5707386,0.8435525,1648.3143,state,fb-survey
45,va,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.2665496,0.4235051,5136.4322,state,fb-survey
46,vt,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,12.2629371,1.304758,632.0008,state,fb-survey
47,wa,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.8217674,0.4561917,5008.9766,state,fb-survey
48,wi,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,10.4933968,0.5030832,3711.0043,state,fb-survey
49,wv,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,13.1368349,0.8973509,1417.1042,state,fb-survey
50,wy,smoothed_wdepressed_7d,2021-05-01,2021-05-06,5,11.6818179,1.5247886,443.753,state,fb-survey
51,ak,smoothed_wdepressed_7d,2021-05-02,2021-05-07,5,11.4306838,1.406186,512.0,state,fb-survey
