"","state","state_full","date","finances_prop","symptom_prop","maskwearing_prop","admission_prop","depression_prop"
"1","AK","District of Columbia",2021-05-01,37.9342243,1.9480842,75.2347255,0.1367693,12.3211704
"2","AL","District of Columbia",2021-05-01,40.6094826,1.3158639,74.5910028,0.0551512,11.9318725
"3","AR","District of Columbia",2021-05-01,38.3793525,1.0854186,73.736626,0.0707092,11.6312218
"4","AZ","District of Columbia",2021-05-01,36.7302808,0.6820823,83.1162071,0.0404236,10.2598026
"5","CA","District of Columbia",2021-05-01,41.7551787,0.6198498,91.5308132,0.0032659,10.6964219
"6","CO","District of Columbia",2021-05-01,33.964033,0.8399262,87.2117957,0,10.8309363
"7","CT","District of Columbia",2021-05-01,36.3137425,0.7066125,92.542209,0,9.0519006
"8","DC","District of Columbia",2021-05-01,29.6511568,0,93.907966,0,8.3936391
"9","DE","District of Columbia",2021-05-01,35.5454503,1.250822,91.8149153,0,11.3327692
"10","FL","District of Columbia",2021-05-01,39.9690185,0.8940365,81.8761849,0.0236635,8.7914474
"11","GA","District of Columbia",2021-05-01,38.7197605,0.7574885,79.3408929,0.0120048,10.543906
"12","HI","District of Columbia",2021-05-01,39.4507205,0.5817535,94.7467427,0,8.9148816
"13","IA","District of Columbia",2021-05-01,31.9153409,0.8942983,78.8347701,0.0135471,10.8042748
"14","ID","District of Columbia",2021-05-01,33.0015223,0.6691694,67.8940567,0,9.4769723
"15","IL","District of Columbia",2021-05-01,36.925915,1.0407264,88.7133903,0.0034047,9.933254
"16","IN","District of Columbia",2021-05-01,37.2764712,1.454519,80.2115014,0.0169188,11.8363978
"17","KS","District of Columbia",2021-05-01,33.0273633,1.0623309,74.5255656,0.0245139,12.3337743
"18","KY","District of Columbia",2021-05-01,40.1864493,0.7979478,84.5258845,0.0095722,13.1781905
"19","LA","District of Columbia",2021-05-01,44.3524655,1.3120707,75.9082477,0.0092259,10.3017622
"20","MA","District of Columbia",2021-05-01,35.6991914,0.6063215,93.7862512,0.0041447,10.3469687
"21","MD","District of Columbia",2021-05-01,35.0727474,0.4591483,93.5226924,0,8.4924507
"22","ME","District of Columbia",2021-05-01,35.4211337,0.6160372,89.5647805,0,14.4505406
"23","MI","District of Columbia",2021-05-01,33.221484,1.1035795,89.0673418,0.0043001,11.4908053
"24","MN","District of Columbia",2021-05-01,29.7671518,1.1594696,86.5159071,0.0050503,11.1099558
"25","MO","District of Columbia",2021-05-01,33.8723335,1.0823665,77.3057325,0.0139338,12.8807642
"26","MS","District of Columbia",2021-05-01,44.6904406,1.4935089,72.8391817,0.0144456,11.8553383
"27","MT","District of Columbia",2021-05-01,32.4709275,0.5371214,68.5220002,0,9.3028833
"28","NC","District of Columbia",2021-05-01,35.4561014,0.623951,87.1145589,0.1414984,9.348625
"29","ND","District of Columbia",2021-05-01,29.6282241,1.3726277,67.4493497,0,9.4884614
"30","NE","District of Columbia",2021-05-01,33.3425785,1.0281326,78.7133352,0,11.3423975
"31","NH","District of Columbia",2021-05-01,30.1176119,1.2734558,89.5462708,0,11.6349884
"32","NJ","District of Columbia",2021-05-01,40.2480618,0.8513494,93.047594,0.0080416,9.2815632
"33","NM","District of Columbia",2021-05-01,42.4768251,1.2454594,89.9880546,0,13.1054933
"34","NV","District of Columbia",2021-05-01,39.8252461,0.9900858,88.4098041,0.0273127,12.7401241
"35","NY","District of Columbia",2021-05-01,42.0016656,0.5198186,92.3267968,0.0125594,11.0866854
"36","OH","District of Columbia",2021-05-01,35.3842103,1.0164404,84.6685877,0.0024434,11.8651672
"37","OK","District of Columbia",2021-05-01,43.8754277,1.4952949,75.872352,0.0143547,11.7630157
"38","OR","District of Columbia",2021-05-01,35.1247332,0.8842098,87.8917252,0.0033681,13.8102691
"39","PA","District of Columbia",2021-05-01,35.0301189,1.3018482,85.9610865,0.0100578,10.7538043
"40","RI","District of Columbia",2021-05-01,40.4478661,0.4663211,93.9000371,0,15.2653982
"41","SC","District of Columbia",2021-05-01,36.9203848,1.082413,80.1615481,0.0082133,8.725172
"42","SD","District of Columbia",2021-05-01,34.9679097,1.9366455,65.5401022,0.0480075,8.8386899
"43","TN","District of Columbia",2021-05-01,37.9547215,1.3081959,79.0356675,0.0269666,11.1233114
"44","TX","District of Columbia",2021-05-01,44.6804118,0.9235624,81.408057,0.0145967,10.338031
"45","UT","District of Columbia",2021-05-01,36.2179135,0.8614855,79.7236629,0.0043958,13.5707386
"46","VA","District of Columbia",2021-05-01,34.8445626,0.7042374,90.094341,0.0498886,10.2665496
"47","VT","District of Columbia",2021-05-01,29.9537835,0.2499581,93.4113502,0,12.2629371
"48","WA","District of Columbia",2021-05-01,33.8121547,0.7864474,90.7476862,0.0018568,11.8217674
"49","WI","District of Columbia",2021-05-01,30.3211645,1.0486405,81.2265379,0.0097971,10.4933968
"50","WV","District of Columbia",2021-05-01,41.3747078,1.0906904,82.6506752,0.0400208,13.1368349
"51","WY","District of Columbia",2021-05-01,36.6705294,0.7695485,56.7539736,0,11.6818179
"52","AK","District of Columbia",2021-05-02,38.8340057,1.8884695,74.5137025,0.1367693,11.4306838
"53","AL","District of Columbia",2021-05-02,39.4471144,1.0125332,73.5749512,0.0551512,12.7148503
"54","AR","District of Columbia",2021-05-02,39.1761116,0.9940712,73.6404915,0.0612813,11.9868244
"55","AZ","District of Columbia",2021-05-02,36.8608608,0.8224905,83.1170822,0.0115496,9.6856832
"56","CA","District of Columbia",2021-05-02,41.5109167,0.5931254,91.4481229,0.0050803,10.2158991
"57","CO","District of Columbia",2021-05-02,33.841783,0.8395515,86.6215235,0,9.9625747
"58","CT","District of Columbia",2021-05-02,35.8872192,0.7618109,92.2591759,0,9.5065717
"59","DC","District of Columbia",2021-05-02,28.6055597,0,92.4341864,0,7.5447343
"60","DE","District of Columbia",2021-05-02,36.9108402,1.2446814,91.1906894,0,12.0125345
"61","FL","District of Columbia",2021-05-02,39.5249755,0.8532202,81.7367668,0.0276074,9.1622713
"62","GA","District of Columbia",2021-05-02,38.2145649,0.6873843,78.7821309,0.0173403,10.9020416
"63","HI","District of Columbia",2021-05-02,39.8377319,0.2194246,93.7848927,0,9.7684433
"64","IA","District of Columbia",2021-05-02,32.6141935,0.7923656,77.8133343,0.0180628,8.9909374
"65","ID","District of Columbia",2021-05-02,33.853775,0.7642539,67.2022966,0,9.63806
"66","IL","District of Columbia",2021-05-02,36.6045139,1.1109443,88.0204245,0.0022698,9.8910778
"67","IN","District of Columbia",2021-05-02,37.4655855,1.530477,80.1138094,0.014804,12.2989903
"68","KS","District of Columbia",2021-05-02,33.8056932,1.0195817,74.5222293,0.0343194,12.545012
"69","KY","District of Columbia",2021-05-02,40.2492577,0.8602906,85.0089051,0.0095722,13.3727921
"70","LA","District of Columbia",2021-05-02,43.9270664,1.3281012,75.9766173,0.0123012,9.5698724
"71","MA","District of Columbia",2021-05-02,35.1286547,0.6235568,93.3364166,0.006217,10.2764259
"72","MD","District of Columbia",2021-05-02,35.3754372,0.4916917,92.8818398,0,8.2887763
"73","ME","District of Columbia",2021-05-02,36.6538536,0.5192913,89.9462436,0,13.4804562
"74","MI","District of Columbia",2021-05-02,33.3925407,1.1452951,89.2926884,0.0028667,11.4255399
"75","MN","District of Columbia",2021-05-02,29.1459725,1.0381025,86.5706916,0.0050503,11.2906088
"76","MO","District of Columbia",2021-05-02,34.1497486,0.9320137,76.7179797,0.0069669,12.8871853
"77","MS","District of Columbia",2021-05-02,44.9825825,1.3755175,72.9775429,0.0144456,12.3472194
"78","MT","District of Columbia",2021-05-02,32.4143383,0.5413086,69.6679261,0,8.5806103
"79","NC","District of Columbia",2021-05-02,34.6665516,0.6063735,86.3488752,0.1266748,9.3926842
"80","ND","District of Columbia",2021-05-02,28.5013161,1.3431597,65.5405368,0,8.4411438
"81","NE","District of Columbia",2021-05-02,34.1637247,0.8958161,79.3417058,0,11.2255115
