,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.1367693,,,state,hhs
1,al,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0551512,,,state,hhs
2,ar,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0707092,,,state,hhs
3,az,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0404236,,,state,hhs
4,ca,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0032659,,,state,hhs
5,co,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
6,ct,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
7,dc,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
8,de,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
9,fl,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0236635,,,state,hhs
10,ga,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0120048,,,state,hhs
11,hi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
12,ia,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0135471,,,state,hhs
13,id,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
14,il,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0034047,,,state,hhs
15,in,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0169188,,,state,hhs
16,ks,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0245139,,,state,hhs
17,ky,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0095722,,,state,hhs
18,la,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0092259,,,state,hhs
19,ma,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0041447,,,state,hhs
20,md,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
21,me,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
22,mi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0043001,,,state,hhs
23,mn,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0050503,,,state,hhs
24,mo,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0139338,,,state,hhs
25,ms,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0144456,,,state,hhs
26,mt,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
27,nc,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.1414984,,,state,hhs
28,nd,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
29,ne,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
30,nh,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
31,nj,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0080416,,,state,hhs
32,nm,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
33,nv,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0273127,,,state,hhs
34,ny,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0125594,,,state,hhs
35,oh,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0024434,,,state,hhs
36,ok,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0143547,,,state,hhs
37,or,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0033681,,,state,hhs
38,pa,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0100578,,,state,hhs
39,pr,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.1112754,,,state,hhs
40,ri,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
41,sc,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0082133,,,state,hhs
42,sd,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0480075,,,state,hhs
43,tn,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0269666,,,state,hhs
44,tx,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0145967,,,state,hhs
45,ut,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0043958,,,state,hhs
46,va,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0498886,,,state,hhs
47,vi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
48,vt,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
49,wa,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0018568,,,state,hhs
50,wi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0097971,,,state,hhs
51,wv,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0400208,,,state,hhs
52,wy,confirmed_admissions_influenza_1d_prop_7dav,2021-05-01,2021-10-28,180,0.0,,,state,hhs
53,ak,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.1367693,,,state,hhs
54,al,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0551512,,,state,hhs
55,ar,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0612813,,,state,hhs
56,az,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0115496,,,state,hhs
57,ca,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0050803,,,state,hhs
58,co,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
59,ct,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
60,dc,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
61,de,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
62,fl,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0276074,,,state,hhs
63,ga,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0173403,,,state,hhs
64,hi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
65,ia,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0180628,,,state,hhs
66,id,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
67,il,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0022698,,,state,hhs
68,in,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.014804,,,state,hhs
69,ks,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0343194,,,state,hhs
70,ky,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0095722,,,state,hhs
71,la,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0123012,,,state,hhs
72,ma,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.006217,,,state,hhs
73,md,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
74,me,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
75,mi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0028667,,,state,hhs
76,mn,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0050503,,,state,hhs
77,mo,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0069669,,,state,hhs
78,ms,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0144456,,,state,hhs
79,mt,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
80,nc,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.1266748,,,state,hhs
81,nd,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
82,ne,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
83,nh,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
84,nj,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0080416,,,state,hhs
85,nm,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
86,nv,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0182085,,,state,hhs
87,ny,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0118206,,,state,hhs
88,oh,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
89,ok,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0251207,,,state,hhs
90,or,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0033681,,,state,hhs
91,pa,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0134104,,,state,hhs
92,pr,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0729046,,,state,hhs
93,ri,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
94,sc,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0054755,,,state,hhs
95,sd,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.032005,,,state,hhs
96,tn,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0228179,,,state,hhs
97,tx,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0150833,,,state,hhs
98,ut,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0043958,,,state,hhs
99,va,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0532145,,,state,hhs
100,vi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
101,vt,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0,,,state,hhs
102,wa,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0037137,,,state,hhs
103,wi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0097971,,,state,hhs
104,wv,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0400208,,,state,hhs
105,wy,confirmed_admissions_influenza_1d_prop_7dav,2021-05-02,2021-10-28,179,0.0245321,,,state,hhs
106,ak,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.1367693,,,state,hhs
107,al,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0551512,,,state,hhs
108,ar,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0377115,,,state,hhs
109,az,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0096247,,,state,hhs
110,ca,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0050803,,,state,hhs
111,co,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
112,ct,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
113,dc,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
114,de,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
115,fl,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0256354,,,state,hhs
116,ga,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0186741,,,state,hhs
117,hi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
118,ia,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0180628,,,state,hhs
119,id,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
120,il,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0034047,,,state,hhs
121,in,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0169188,,,state,hhs
122,ks,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0441249,,,state,hhs
123,ky,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0095722,,,state,hhs
124,la,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0153765,,,state,hhs
125,ma,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.006217,,,state,hhs
126,md,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
127,me,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0105809,,,state,hhs
128,mi,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0028667,,,state,hhs
129,mn,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0075755,,,state,hhs
130,mo,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0069669,,,state,hhs
131,ms,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0096304,,,state,hhs
132,mt,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
133,nc,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.1145464,,,state,hhs
134,nd,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
135,ne,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
136,nh,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.010456,,,state,hhs
137,nj,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0112583,,,state,hhs
138,nm,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
139,nv,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0045521,,,state,hhs
140,ny,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.010343,,,state,hhs
141,oh,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
142,ok,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.021532,,,state,hhs
143,or,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0033681,,,state,hhs
144,pa,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0122929,,,state,hhs
145,pr,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0690675,,,state,hhs
146,ri,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0,,,state,hhs
147,sc,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0027378,,,state,hhs
148,sd,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.032005,,,state,hhs
149,tn,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0186692,,,state,hhs
150,tx,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0150833,,,state,hhs
151,ut,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0043958,,,state,hhs
152,va,confirmed_admissions_influenza_1d_prop_7dav,2021-05-03,2021-10-28,178,0.0548775,,,state,hhs
