"","state","date","admission","maskwearing","delphi_samplesize","maskwearing_stderr","symptom","symptoms_stderr"
"1","ak",2021-05-01,6.5714286,75.2347255,497,1.9362104,NA,NA
"2","al",2021-05-01,58.7142857,74.5910028,2245.0435,0.9188077,NA,NA
"3","ar",2021-05-01,36.4285714,73.736626,1538.1995,1.1220457,NA,NA
"4","az",2021-05-01,75.5714286,83.1162071,3749.7256,0.6117558,NA,NA
"5","ca",2021-05-01,241.4285714,91.5308132,15162.1979,0.2261119,NA,NA
"6","co",2021-05-01,115.1428571,87.2117957,3363.8484,0.5758034,NA,NA
"7","ct",2021-05-01,70.7142857,92.542209,2636,0.5116846,NA,NA
"8","dc",2021-05-01,15.1428571,93.907966,279,1.431958,NA,NA
"9","de",2021-05-01,19.1428571,91.8149153,761.0073,0.9937423,NA,NA
"10","fl",2021-05-01,506.8571429,81.8761849,11612.0007,0.3574786,NA,NA
"11","ga",2021-05-01,195,79.3408929,4053.9586,0.6358646,NA,NA
"12","hi",2021-05-01,6.8571429,94.7467427,742,0.81902,NA,NA
"13","ia",2021-05-01,30.7142857,78.8347701,2448.7412,0.8254656,NA,NA
"14","id",2021-05-01,15,67.8940567,1276.1319,1.3069555,NA,NA
"15","il",2021-05-01,229.4285714,88.7133903,7308.0011,0.3701494,NA,NA
"16","in",2021-05-01,110.2857143,80.2115014,3808.0028,0.6456187,NA,NA
"17","ks",2021-05-01,29.1428571,74.5255656,1797.0593,1.0278357,NA,NA
"18","ky",2021-05-01,120,84.5258845,2459.4415,0.7292552,NA,NA
"19","la",2021-05-01,50,75.9082477,2105.9996,0.9318576,NA,NA
"20","ma",2021-05-01,73.7142857,93.7862512,3550.01,0.4051647,NA,NA
"21","md",2021-05-01,124.5714286,93.5226924,2962.9903,0.4521584,NA,NA
"22","me",2021-05-01,14.7142857,89.5647805,1435,0.8070371,NA,NA
"23","mi",2021-05-01,379.2857143,89.0673418,8767.9946,0.3332514,NA,NA
"24","mn",2021-05-01,93.4285714,86.5159071,3204.7362,0.6033408,NA,NA
"25","mo",2021-05-01,70.8571429,77.3057325,3265.8769,0.7329326,NA,NA
"26","ms",2021-05-01,27.2857143,72.8391817,1388.1134,1.1938272,NA,NA
"27","mt",2021-05-01,14.2857143,68.5220002,897.6198,1.5501452,NA,NA
"28","nc",2021-05-01,122.5714286,87.1145589,5331.0055,0.4588708,NA,NA
"29","nd",2021-05-01,11.2857143,67.4493497,435.4859,2.2453377,NA,NA
"30","ne",2021-05-01,16,78.7133352,1207.1593,1.1781367,NA,NA
"31","nh",2021-05-01,10.5714286,89.5462708,1175,0.8925662,NA,NA
"32","nj",2021-05-01,170,93.047594,4066.9983,0.3988257,NA,NA
