,geo_value,signal,time_value,issue,lag,value,stderr,sample_size,geo_type,data_source
0,ak,smoothed_wworried_finances,2021-05-01,2021-05-06,5,37.9342243,2.163504,503.0,state,fb-survey
1,al,smoothed_wworried_finances,2021-05-01,2021-05-06,5,40.6094826,1.0364776,2245.0435,state,fb-survey
2,ar,smoothed_wworried_finances,2021-05-01,2021-05-06,5,38.3793525,1.231181,1560.1994,state,fb-survey
3,az,smoothed_wworried_finances,2021-05-01,2021-05-06,5,36.7302808,0.7854673,3766.7256,state,fb-survey
4,ca,smoothed_wworried_finances,2021-05-01,2021-05-06,5,41.7551787,0.40095,15128.1979,state,fb-survey
5,co,smoothed_wworried_finances,2021-05-01,2021-05-06,5,33.964033,0.8146129,3379.8483,state,fb-survey
6,ct,smoothed_wworried_finances,2021-05-01,2021-05-06,5,36.3137425,0.9354268,2643.0,state,fb-survey
7,dc,smoothed_wworried_finances,2021-05-01,2021-05-06,5,29.6511568,2.7591418,274.0,state,fb-survey
8,de,smoothed_wworried_finances,2021-05-01,2021-05-06,5,35.5454503,1.7362406,760.0073,state,fb-survey
9,fl,smoothed_wworried_finances,2021-05-01,2021-05-06,5,39.9690185,0.4553105,11574.0007,state,fb-survey
10,ga,smoothed_wworried_finances,2021-05-01,2021-05-06,5,38.7197605,0.7671292,4031.9583,state,fb-survey
11,hi,smoothed_wworried_finances,2021-05-01,2021-05-06,5,39.4507205,1.79303,743.0,state,fb-survey
12,ia,smoothed_wworried_finances,2021-05-01,2021-05-06,5,31.9153409,0.9408502,2454.7528,state,fb-survey
13,id,smoothed_wworried_finances,2021-05-01,2021-05-06,5,33.0015223,1.3101494,1288.1228,state,fb-survey
14,il,smoothed_wworried_finances,2021-05-01,2021-05-06,5,36.925915,0.5638038,7327.0011,state,fb-survey
15,in,smoothed_wworried_finances,2021-05-01,2021-05-06,5,37.2764712,0.7844056,3800.0028,state,fb-survey
16,ks,smoothed_wworried_finances,2021-05-01,2021-05-06,5,33.0273633,1.1036227,1816.0593,state,fb-survey
17,ky,smoothed_wworried_finances,2021-05-01,2021-05-06,5,40.1864493,0.99082,2448.4414,state,fb-survey
18,la,smoothed_wworried_finances,2021-05-01,2021-05-06,5,44.3524655,1.0807672,2112.9995,state,fb-survey
19,ma,smoothed_wworried_finances,2021-05-01,2021-05-06,5,35.6991914,0.8033316,3557.0105,state,fb-survey
20,md,smoothed_wworried_finances,2021-05-01,2021-05-06,5,35.0727474,0.8769603,2960.9903,state,fb-survey
21,me,smoothed_wworried_finances,2021-05-01,2021-05-06,5,35.4211337,1.2542792,1454.0,state,fb-survey
22,mi,smoothed_wworried_finances,2021-05-01,2021-05-06,5,33.221484,0.5010721,8835.9938,state,fb-survey
23,mn,smoothed_wworried_finances,2021-05-01,2021-05-06,5,29.7671518,0.804425,3230.7727,state,fb-survey
24,mo,smoothed_wworried_finances,2021-05-01,2021-05-06,5,33.8723335,0.8266427,3277.8768,state,fb-survey
25,ms,smoothed_wworried_finances,2021-05-01,2021-05-06,5,44.6904406,1.3392429,1378.1489,state,fb-survey
26,mt,smoothed_wworried_finances,2021-05-01,2021-05-06,5,32.4709275,1.5577501,903.6285,state,fb-survey
27,nc,smoothed_wworried_finances,2021-05-01,2021-05-06,5,35.4561014,0.6558073,5321.0053,state,fb-survey
28,nd,smoothed_wworried_finances,2021-05-01,2021-05-06,5,29.6282241,2.1852609,436.6139,state,fb-survey
29,ne,smoothed_wworried_finances,2021-05-01,2021-05-06,5,33.3425785,1.3613989,1199.1593,state,fb-survey
30,nh,smoothed_wworried_finances,2021-05-01,2021-05-06,5,30.1176119,1.334398,1182.0,state,fb-survey
31,nj,smoothed_wworried_finances,2021-05-01,2021-05-06,5,40.2480618,0.7693521,4062.9985,state,fb-survey
32,nm,smoothed_wworried_finances,2021-05-01,2021-05-06,5,42.4768251,1.1887337,1729.1225,state,fb-survey
33,nv,smoothed_wworried_finances,2021-05-01,2021-05-06,5,39.8252461,1.3289928,1356.8366,state,fb-survey
34,ny,smoothed_wworried_finances,2021-05-01,2021-05-06,5,42.0016656,0.5308337,8645.0003,state,fb-survey
35,oh,smoothed_wworried_finances,2021-05-01,2021-05-06,5,35.3842103,0.5752214,6909.9997,state,fb-survey
36,ok,smoothed_wworried_finances,2021-05-01,2021-05-06,5,43.8754277,1.0570025,2204.0549,state,fb-survey
