"","state","date","symptom.x","finances_samplesize","finances_stderr","symptom.y","symptom_samplesize","symptoms_stderr","maskwearing","maskwearing_samplesize","maskwearing_stderr","admission","depression"
"1","ak",2021-05-01,37.9342243,503,2.163504,1.9480842,571,0.7888428,75.2347255,497,1.9362104,0.1367693,12.3211704
"2","al",2021-05-01,40.6094826,2245.0435,1.0364776,1.3158639,2675.0471,0.2654989,74.5910028,2245.0435,0.9188077,0.0551512,11.9318725
"3","ar",2021-05-01,38.3793525,1560.1994,1.231181,1.0854186,1840.2729,0.3258373,73.736626,1538.1995,1.1220457,0.0707092,11.6312218
"4","az",2021-05-01,36.7302808,3766.7256,0.7854673,0.6820823,4343.6333,0.1234431,83.1162071,3749.7256,0.6117558,0.0404236,10.2598026
"5","ca",2021-05-01,41.7551787,15128.1979,0.40095,0.6198498,17725.1979,0.0703045,91.5308132,15162.1979,0.2261119,0.0032659,10.6964219
"6","co",2021-05-01,33.964033,3379.8483,0.8146129,0.8399262,3803.847,0.1708735,87.2117957,3363.8484,0.5758034,0,10.8309363
"7","ct",2021-05-01,36.3137425,2643,0.9354268,0.7066125,3011,0.1968616,92.542209,2636,0.5116846,0,9.0519006
"8","dc",2021-05-01,29.6511568,274,2.7591418,0,324,0.1633768,93.907966,279,1.431958,0,8.3936391
"9","de",2021-05-01,35.5454503,760.0073,1.7362406,1.250822,873.0073,0.653316,91.8149153,761.0073,0.9937423,0,11.3327692
"10","fl",2021-05-01,39.9690185,11574.0007,0.4553105,0.8940365,13590.0001,0.091435,81.8761849,11612.0007,0.3574786,0.0236635,8.7914474
"11","ga",2021-05-01,38.7197605,4031.9583,0.7671292,0.7574885,4809.9553,0.1167172,79.3408929,4053.9586,0.6358646,0.0120048,10.543906
"12","hi",2021-05-01,39.4507205,743,1.79303,0.5817535,862,0.2819916,94.7467427,742,0.81902,0,8.9148816
"13","ia",2021-05-01,31.9153409,2454.7528,0.9408502,0.8942983,2778.697,0.1747548,78.8347701,2448.7412,0.8254656,0.0135471,10.8042748
"14","id",2021-05-01,33.0015223,1288.1228,1.3101494,0.6691694,1428.1513,0.2076472,67.8940567,1276.1319,1.3069555,0,9.4769723
"15","il",2021-05-01,36.925915,7327.0011,0.5638038,1.0407264,8511.0008,0.1309945,88.7133903,7308.0011,0.3701494,0.0034047,9.933254
"16","in",2021-05-01,37.2764712,3800.0028,0.7844056,1.454519,4418.0032,0.2195897,80.2115014,3808.0028,0.6456187,0.0169188,11.8363978
"17","ks",2021-05-01,33.0273633,1816.0593,1.1036227,1.0623309,2081.0596,0.3972581,74.5255656,1797.0593,1.0278357,0.0245139,12.3337743
"18","ky",2021-05-01,40.1864493,2448.4414,0.99082,0.7979478,2871.4374,0.187034,84.5258845,2459.4415,0.7292552,0.0095722,13.1781905
"19","la",2021-05-01,44.3524655,2112.9995,1.0807672,1.3120707,2519.9994,0.2681708,75.9082477,2105.9996,0.9318576,0.0092259,10.3017622
"20","ma",2021-05-01,35.6991914,3557.0105,0.8033316,0.6063215,4079.011,0.1795224,93.7862512,3550.01,0.4051647,0.0041447,10.3469687
"21","md",2021-05-01,35.0727474,2960.9903,0.8769603,0.4591483,3474.9902,0.1259073,93.5226924,2962.9903,0.4521584,0,8.4924507
"22","me",2021-05-01,35.4211337,1454,1.2542792,0.6160372,1638,0.2366141,89.5647805,1435,0.8070371,0,14.4505406
"23","mi",2021-05-01,33.221484,8835.9938,0.5010721,1.1035795,10103.9945,0.1309399,89.0673418,8767.9946,0.3332514,0.0043001,11.4908053
"24","mn",2021-05-01,29.7671518,3230.7727,0.804425,1.1594696,3645.7969,0.2383861,86.5159071,3204.7362,0.6033408,0.0050503,11.1099558
"25","mo",2021-05-01,33.8723335,3277.8768,0.8266427,1.0823665,3794.8034,0.265845,77.3057325,3265.8769,0.7329326,0.0139338,12.8807642
"26","ms",2021-05-01,44.6904406,1378.1489,1.3392429,1.4935089,1698.6011,0.3952006,72.8391817,1388.1134,1.1938272,0.0144456,11.8553383
"27","mt",2021-05-01,32.4709275,903.6285,1.5577501,0.5371214,1020.602,0.2149577,68.5220002,897.6198,1.5501452,0,9.3028833
"28","nc",2021-05-01,35.4561014,5321.0053,0.6558073,0.623951,6211.0064,0.1169262,87.1145589,5331.0055,0.4588708,0.1414984,9.348625
"29","nd",2021-05-01,29.6282241,436.6139,2.1852609,1.3726277,488.6139,0.4836432,67.4493497,435.4859,2.2453377,0,9.4884614
"30","ne",2021-05-01,33.3425785,1199.1593,1.3613989,1.0281326,1391.1638,0.2847772,78.7133352,1207.1593,1.1781367,0,11.3423975
"31","nh",2021-05-01,30.1176119,1182,1.334398,1.2734558,1322,0.4289584,89.5462708,1175,0.8925662,0,11.6349884
"32","nj",2021-05-01,40.2480618,4062.9985,0.7693521,0.8513494,4864.9979,0.1553272,93.047594,4066.9983,0.3988257,0.0080416,9.2815632
"33","nm",2021-05-01,42.4768251,1729.1225,1.1887337,1.2454594,1998.1094,0.3345412,89.9880546,1710.1205,0.7258357,0,13.1054933
"34","nv",2021-05-01,39.8252461,1356.8366,1.3289928,0.9900858,1570.8366,0.3138891,88.4098041,1355.8366,0.8693445,0.0273127,12.7401241
"35","ny",2021-05-01,42.0016656,8645.0003,0.5308337,0.5198186,10180.0004,0.0756689,92.3267968,8625.0002,0.2865977,0.0125594,11.0866854
"36","oh",2021-05-01,35.3842103,6909.9997,0.5752214,1.0164404,7991.9988,0.1631626,84.6685877,6908.9994,0.4334556,0.0024434,11.8651672
"37","ok",2021-05-01,43.8754277,2204.0549,1.0570025,1.4952949,2580.0544,0.3217377,75.872352,2222.0547,0.9076573,0.0143547,11.7630157
"38","or",2021-05-01,35.1247332,3273.1705,0.834376,0.8842098,3686.1719,0.2379515,87.8917252,3230.1705,0.5739875,0.0033681,13.8102691
"39","pa",2021-05-01,35.0301189,7814.0042,0.5396846,1.3018482,9035.0045,0.1681992,85.9610865,7792.0038,0.3935438,0.0100578,10.7538043
"40","ri",2021-05-01,40.4478661,720.9895,1.827814,0.4663211,833.989,0.2648986,93.9000371,716.99,0.8937991,0,15.2653982
"41","sc",2021-05-01,36.9203848,3129.0021,0.8627296,1.082413,3666.0023,0.192117,80.1615481,3126.0021,0.7132509,0.0082133,8.725172
"42","sd",2021-05-01,34.9679097,657.8033,1.8593051,1.9366455,733.8325,0.4798018,65.5401022,658.9797,1.8512903,0.0480075,8.8386899
"43","tn",2021-05-01,37.9547215,3638.5609,0.8044933,1.3081959,4253.5659,0.2193246,79.0356675,3602.5609,0.6781822,0.0269666,11.1233114
"44","tx",2021-05-01,44.6804118,11262.0086,0.468479,0.9235624,13303.0219,0.0957566,81.408057,11276.0103,0.3663687,0.0145967,10.338031
"45","ut",2021-05-01,36.2179135,1652.3143,1.1824009,0.8614855,1900.409,0.221148,79.7236629,1651.3119,0.9894044,0.0043958,13.5707386
"46","va",2021-05-01,34.8445626,5189.9703,0.6613942,0.7042374,6017.8566,0.1232206,90.094341,5152.3446,0.4161865,0.0498886,10.2665496
"47","vt",2021-05-01,29.9537835,629.0008,1.8263861,0.2499581,710.0008,0.159884,93.4113502,627.0008,0.9907498,0,12.2629371
"48","wa",2021-05-01,33.8121547,5044.9744,0.6660335,0.7864474,5691.9723,0.1415541,90.7476862,4974.9744,0.4108162,0.0018568,11.8217674
"49","wi",2021-05-01,30.3211645,3732.0043,0.7524061,1.0486405,4230.005,0.2320393,81.2265379,3726.0042,0.6397341,0.0097971,10.4933968
"50","wv",2021-05-01,41.3747078,1424.1041,1.3050859,1.0906904,1646.1057,0.2897958,82.6506752,1419.1044,1.0052112,0.0400208,13.1368349
"51","wy",2021-05-01,36.6705294,448.753,2.2748766,0.7695485,493.7491,0.3779255,56.7539736,440.7549,2.3597863,0,11.6818179
"52","ak",2021-05-02,38.8340057,513,2.1518026,1.8884695,582,0.7867853,74.5137025,508,1.9334796,0.1367693,11.4306838
"53","al",2021-05-02,39.4471144,2315.0445,1.01577,1.0125332,2752.0463,0.186242,73.5749512,2314.0427,0.9166155,0.0551512,12.7148503
"54","ar",2021-05-02,39.1761116,1613.193,1.215359,0.9940712,1906.1933,0.3008633,73.6404915,1592.1931,1.1041527,0.0612813,11.9868244
"55","az",2021-05-02,36.8608608,3838.2039,0.7786962,0.8224905,4435.7577,0.1730379,83.1170822,3822.2039,0.6059154,0.0115496,9.6856832
"56","ca",2021-05-02,41.5109167,15344.2076,0.3977831,0.5931254,17999.7785,0.0640946,91.4481229,15367.2076,0.2255904,0.0050803,10.2158991
"57","co",2021-05-02,33.841783,3470.8769,0.8031542,0.8395515,3934.8756,0.1621218,86.6215235,3460.877,0.5786596,0,9.9625747
"58","ct",2021-05-02,35.8872192,2653,0.9312657,0.7618109,3039,0.2034882,92.2591759,2643,0.5198162,0,9.5065717
"59","dc",2021-05-02,28.6055597,288,2.6629388,0,341,0.1554691,92.4341864,294,1.5423057,0,7.5447343
"60","de",2021-05-02,36.9108402,771,1.7379095,1.2446814,890,0.6518326,91.1906894,774,1.018769,0,12.0125345
"61","fl",2021-05-02,39.5249755,11876.0004,0.4486304,0.8532202,13903.9999,0.0895316,81.7367668,11915.0004,0.353957,0.0276074,9.1622713
"62","ga",2021-05-02,38.2145649,4127.9573,0.7562927,0.6873843,4937.9563,0.1059739,78.7821309,4151.9594,0.6345096,0.0173403,10.9020416
"63","hi",2021-05-02,39.8377319,764,1.7711801,0.2194246,886,0.1874627,93.7848927,759,0.8763344,0,9.7684433
"64","ia",2021-05-02,32.6141935,2444.7325,0.9481387,0.7923656,2765.7093,0.1601609,77.8133343,2433.7209,0.8422435,0.0180628,8.9909374
"65","id",2021-05-02,33.853775,1256.1321,1.3351757,0.7642539,1394.1514,0.2340031,67.2022966,1244.1412,1.3310027,0,9.63806
"66","il",2021-05-02,36.6045139,7385.0012,0.5605588,1.1109443,8597.0008,0.1349208,88.0204245,7364.0011,0.3784038,0.0022698,9.8910778
"67","in",2021-05-02,37.4655855,3925.0034,0.7726019,1.530477,4551.0033,0.2322296,80.1138094,3929.0032,0.6367784,0.014804,12.2989903
"68","ks",2021-05-02,33.8056932,1881.1458,1.0906716,1.0195817,2149.1461,0.3949533,74.5222293,1862.1458,1.0097568,0.0343194,12.545012
"69","ky",2021-05-02,40.2492577,2471.7518,0.9863889,0.8602906,2895.7527,0.1905687,85.0089051,2482.752,0.7164439,0.0095722,13.3727921
"70","la",2021-05-02,43.9270664,2172.9994,1.0646649,1.3281012,2578.9994,0.2664868,75.9766173,2164.9995,0.9181807,0.0123012,9.5698724
"71","ma",2021-05-02,35.1286547,3619.0085,0.7935283,0.6235568,4143.009,0.1816107,93.3364166,3616.008,0.4147294,0.006217,10.2764259
"72","md",2021-05-02,35.3754372,2993.9978,0.873824,0.4916917,3494.9977,0.1651239,92.8818398,2990.9978,0.4701552,0,8.2887763
"73","me",2021-05-02,36.6538536,1482,1.2516872,0.5192913,1672,0.2018729,89.9462436,1461,0.7867388,0,13.4804562
"74","mi",2021-05-02,33.3925407,8939.9932,0.4987898,1.1452951,10201.9939,0.1310781,89.2926884,8855.9939,0.3285712,0.0028667,11.4255399
"75","mn",2021-05-02,29.1459725,3204.6645,0.8027499,1.0381025,3639.6889,0.2111765,86.5706916,3169.6764,0.6056264,0.0050503,11.2906088
"76","mo",2021-05-02,34.1497486,3311.8834,0.8240147,0.9320137,3836.8828,0.2468313,76.7179797,3297.8836,0.735938,0.0069669,12.8871853
"77","ms",2021-05-02,44.9825825,1442.9037,1.3096451,1.3755175,1771.3557,0.3858825,72.9775429,1450.8683,1.165851,0.0144456,12.3472194
"78","mt",2021-05-02,32.4143383,901.6183,1.5587789,0.5413086,1011.6009,0.215284,69.6679261,892.6096,1.5386389,0,8.5806103
"79","nc",2021-05-02,34.6665516,5456.0053,0.6442964,0.6063735,6382.0066,0.1125258,86.3488752,5466.0054,0.4643843,0.1266748,9.3926842
"80","nd",2021-05-02,28.5013161,445.4858,2.1387723,1.3431597,503.4858,0.4737977,65.5405368,446.3577,2.2494054,0,8.4411438
"81","ne",2021-05-02,34.1637247,1209.1325,1.3638867,0.8958161,1415.0703,0.2469713,79.3417058,1214.1325,1.1618898,0,11.2255115
"82","nh",2021-05-02,28.6033415,1227,1.290105,1.2954295,1373,0.4389025,87.6520828,1217,0.9430456,0,11.2307621
"83","nj",2021-05-02,39.1493048,4151.9986,0.7574713,0.9308552,4970.998,0.1601233,92.5133039,4153.9984,0.4083326,0.0080416,9.4753574
"84","nm",2021-05-02,41.9757598,1775.7118,1.1711642,1.1656669,2034.0525,0.3267205,89.5346748,1758.7098,0.7299194,0,11.7973938
"85","nv",2021-05-02,41.3988375,1386.8269,1.322623,0.8985308,1611.8269,0.3002855,87.8403854,1383.8269,0.8785493,0.0182085,12.7513776
"86","ny",2021-05-02,41.5461338,8928.0006,0.5215486,0.5109865,10478.0008,0.0680427,92.2803975,8913.0005,0.2827094,0.0118206,10.4981122
"87","oh",2021-05-02,35.2921689,6957.9995,0.5728955,1.1772625,8050.999,0.2144234,84.2183533,6962.9994,0.4368993,0,12.150201
"88","ok",2021-05-02,42.7874965,2271.9985,1.0380061,1.0501229,2659.9981,0.250019,74.684805,2283.9984,0.9098271,0.0251207,11.9764209
"89","or",2021-05-02,33.8921604,3274.1694,0.8272286,0.913425,3712.601,0.2393719,88.2081347,3236.1694,0.5669307,0.0033681,13.2947346
"90","pa",2021-05-02,34.7348217,7982.0047,0.5329265,1.2737103,9226.0053,0.1632664,85.5733479,7959.0042,0.3938426,0.0134104,11.0878491
